,months,id,year
744,['July'],1591721298-9132,[1882]
745,[],1591721298-8391,[1886]
746,['April'],1591721298-8571,[1888]
747,['May'],1591721298-8583,[1888]
748,['November'],1591721298-9101,[1882]
749,['September'],1591721298-8284,[1885]
750,['March'],1591721298-9145,[1883]
751,['April'],1591721298-8573,[1888]
752,[],1591721298-9069,[1887]
753,['October'],1591721298-8118,[1883]
754,['May'],1591721298-8736,[1889]
755,"['November', 'December']",1591721298-8682,[1888]
756,['August'],1591721298-8102,[1883]
757,['October'],1591721298-9207,[1888]
758,[],1591721298-8361,[1886]
759,['March'],1591721298-8220,[1885]
760,['June'],1591721298-8891,[1890]
761,"['April', 'May']",1591721298-8865,[1890]
762,['May'],1591721298-8588,[1888]
763,[],1591721298-8347,[1886]
764,['March'],1591721298-8216,[1885]
765,['December'],1591721298-8698,[1888]
766,['May'],1591721298-8248,[1885]
767,['October'],1591721298-8801,[1889]
768,['March'],1591721298-8208,[1885]
769,"['February', 'March']",1591721298-8204,[1885]
770,['October'],1591721298-8969,[1881]
771,['September'],1591721298-8142,[1884]
772,['October'],1591721298-8301,[1885]
773,['January'],1591721298-8187,[1885]
774,[],1591721298-8488,[1887]
775,['December'],1591721298-8836,[1889]
776,['September'],1591721298-9019,[1882]
777,['May'],1591721298-8871,[1890]
778,['December'],1591721298-8318,[1885]
779,['October'],1591721298-8980,[1881]
780,['January'],1591721298-8193,[1885]
781,['June'],1591721298-8914,[1890]
782,['November'],1591721298-8312,[1885]
783,['March'],1591721298-8222,[1885]
784,"['March', 'April']",1591721298-8858,[1890]
785,['May'],1591721298-9090,[1889]
786,['August'],1591721298-8637,[1888]
787,['April'],1591721298-8124,[1884]
788,['November'],1591721298-8821,[1889]
789,['November'],1591721298-8674,[1888]
790,['August'],1591721298-8625,[1888]
791,[],1591721298-8472,[1887]
792,['November'],1591721298-8819,[1889]
793,['August'],1591721298-8957,[1881]
794,['May'],1591721298-9221,[1889]
795,['September'],1591721298-8772,[1889]
796,['March'],1591721298-8219,[1885]
797,[],1591721298-8466,[1887]
798,['December'],1591721298-8843,[1889]
799,"['July', 'August']",1591721298-8954,[1879]
800,['September'],1591721298-8114,[1883]
801,[],1591721298-8329,[1886]
802,['March'],1591721298-9029,[1883]
803,['July'],1591721298-8949,[1890]
804,['May'],1591721298-9226,[1890]
805,['September'],1591721298-8964,[1881]
806,['December'],1591721298-8170,[1884]
807,['July'],1591721298-8134,[1884]
808,[],1591721298-8404,[1886]
809,['July'],1591721298-9231,[1890]
810,[],1591721298-8504,[1887]
811,['August'],1591721298-9135,[1882]
812,['May'],1591721298-8132,[1884]
813,['August'],1591721298-8110,[1883]
814,[],1591721298-8402,[1886]
815,['September'],1591721298-8965,[1881]
816,['September'],1591721298-9111,[1881]
817,['March'],1591721298-8215,[1885]
818,['June'],1591721298-8918,[1890]
819,['October'],1591721298-9161,[1883]
820,[],1591721298-8334,[1886]
821,[],1591721298-8527,[1887]
822,"['November', 'December']",1591721298-8688,[1888]
823,['February'],1591721298-8121,[1884]
824,['October'],1591721298-8659,[1888]
825,"['November', 'December']",1591721298-8684,[1888]
826,['July'],1591721298-9002,[1882]
827,[],1591721298-8356,[1886]
828,['April'],1591721298-9033,[1883]
829,['January'],1591721298-9168,[1884]
830,['September'],1591721298-8961,[1881]
831,['July'],1591721298-9235,[1890]
832,['June'],1591721298-8753,[1889]
833,[],1591721298-8482,[1887]
834,['March'],1591721298-8209,[1885]
835,['March'],1591721298-8210,[1885]
836,['October'],1591721298-8790,[1889]
837,['June'],1591721298-8900,[1890]
838,['June'],1591721298-8996,[1882]
839,['January'],1591721298-8706,[1889]
840,['June'],1591721298-8603,[1888]
841,['July'],1591721298-9000,[1882]
842,['September'],1591721298-9009,[1882]
843,['October'],1591721298-9164,[1883]
844,[],1591721298-8416,[1886]
845,['October'],1591721298-8303,[1885]
846,['July'],1591721298-8263,[1885]
847,['May'],1591721298-8880,[1890]
848,[],1591721298-8484,[1887]
849,['February'],1591721298-9053,[1884]
850,['June'],1591721298-8921,[1890]
851,['August'],1591721298-8271,[1885]
852,['October'],1591721298-8304,[1885]
853,['August'],1591721298-9065,[1885]
854,['May'],1591721298-9225,[1890]
855,['October'],1591721298-9025,[1882]
856,['July'],1591721298-8762,[1889]
857,"['November', 'December']",1591721298-8086,[1881]
858,['October'],1591721298-8665,[1888]
859,[],1591721298-8494,[1887]
860,['June'],1591721298-9201,[1888]
861,['November'],1591721298-8678,[1888]
862,[],1591721298-8175,"[1884, 1885]"
863,['June'],1591721298-8750,[1889]
864,['May'],1591721298-8247,[1885]
865,['November'],1591721298-8154,[1884]
866,['July'],1591721298-8761,[1889]
867,['September'],1591721298-8785,[1889]
868,[],1591721298-8380,[1886]
869,['September'],1591721298-8777,[1889]
870,['June'],1591721298-9078,[1888]
871,[],1591721298-8342,[1886]
872,['January'],1591721298-8185,[1885]
873,['September'],1591721298-8776,[1889]
874,['March'],1591721298-8123,[1884]
875,['June'],1591721298-8251,[1885]
876,[],1591721298-8367,[1886]
877,['September'],1591721298-8644,[1888]
878,['December'],1591721298-8690,[1888]
879,['October'],1591721298-9024,[1882]
880,['September'],1591721298-9016,[1882]
881,[],1591721298-8431,[1887]
882,['October'],1591721298-9117,[1881]
883,[],1591721298-8534,[1887]
884,['June'],1591721298-8925,[1890]
885,['April'],1591721298-8733,[1889]
886,['May'],1591721298-8868,[1890]
887,['June'],1591721298-9172,[1884]
888,['September'],1591721298-8279,[1885]
889,['May'],1591721298-9061,[1885]
890,[],1591721298-8327,[1886]
891,['October'],1591721298-8144,[1884]
892,['September'],1591721298-8276,[1885]
893,[],1591721298-8374,[1886]
894,['April'],1591721298-8232,[1885]
895,['September'],1591721298-9014,[1882]
896,['September'],1591721298-8280,[1885]
897,"['January', 'February']",1591721298-9174,[1885]
898,['July'],1591721298-9204,[1888]
899,[],1591721298-8517,[1887]
900,['December'],1591721298-8703,[1888]
901,['July'],1591721298-9035,[1883]
902,['July'],1591721298-8932,[1890]
903,['June'],1591721298-8755,[1889]
904,['August'],1591721298-8091,[1882]
905,['June'],1591721298-8589,[1888]
906,['August'],1591721298-8640,[1888]
907,['September'],1591721298-8766,[1889]
908,['August'],1591721298-8619,[1888]
909,['June'],1591721298-9227,[1890]
910,['April'],1591721298-9171,[1884]
911,['November'],1591721298-8811,[1889]
912,['March'],1591721298-8554,[1888]
913,['June'],1591721298-8920,[1890]
914,"['July', 'August']",1591721298-8266,[1885]
915,"['March', 'April']",1591721298-8228,[1885]
916,"['November', 'December']",1591721298-8687,[1888]
917,['July'],1591721298-8950,[1890]
918,['April'],1591721298-8720,[1889]
919,['July'],1591721298-9105,[1883]
920,['November'],1591721298-8162,[1884]
921,['December'],1591721298-8168,[1884]
922,[],1591721298-8394,[1886]
923,['December'],1591721298-8695,[1888]
924,['February'],1591721298-8198,[1885]
925,[],1591721298-8463,[1887]
926,['July'],1591721298-9234,[1890]
927,"['November', 'December']",1591721298-8686,[1888]
928,[],1591721298-8358,[1886]
929,['January'],1591721298-8712,[1889]
930,['April'],1591721298-8732,[1889]
931,[],1591721298-8417,[1887]
932,['July'],1591721298-8942,[1890]
933,['June'],1591721298-8748,[1889]
934,['January'],1591721298-9126,[1882]
935,[],1591721298-8341,[1886]
936,[],1591721298-8376,[1886]
937,['June'],1591721298-8908,[1890]
938,[],1591721298-8379,[1886]
939,['July'],1591721298-9004,[1882]
940,['May'],1591721298-8580,[1888]
941,['February'],1591721298-8548,[1888]
942,[],1591721298-8147,"[1884, 1885]"
943,[],1591721298-8407,[1886]
944,"['April', 'May']",1591721298-8866,[1890]
945,['July'],1591721298-9203,[1888]
946,"['October', 'November']",1591721298-8808,[1889]
947,['June'],1591721298-8256,[1885]
948,['April'],1591721298-9129,[1882]
949,['July'],1591721298-8939,[1890]
950,['May'],1591721298-8587,[1888]
951,['November'],1591721298-8149,[1884]
952,['September'],1591721298-8958,[1881]
953,['January'],1591721298-9169,[1884]
954,['January'],1591721298-8191,[1885]
955,['November'],1591721298-8152,[1884]
956,['July'],1591721298-8998,[1882]
957,['January'],1591721298-8846,[1890]
958,['October'],1591721298-9209,[1888]
959,['April'],1591721298-9188,[1888]
960,['November'],1591721298-9026,[1882]
961,['September'],1591721298-8287,[1885]
962,['November'],1591721298-8676,[1888]
963,['August'],1591721298-8103,[1883]
964,[],1591721298-8364,[1886]
965,[],1591721298-8521,[1887]
966,['July'],1591721298-8760,[1889]
967,[],1591721298-8349,[1886]
968,['May'],1591721298-8245,[1885]
969,[],1591721298-8335,[1886]
970,[],1591721298-8373,[1886]
971,['November'],1591721298-8159,[1884]
972,['October'],1591721298-9165,[1883]
973,['November'],1591721298-9100,[1882]
974,['March'],1591721298-8212,[1885]
975,['April'],1591721298-9192,[1888]
976,"['November', 'December']",1591721298-8825,[1889]
977,['November'],1591721298-8671,[1888]
978,['June'],1591721298-8902,[1890]
979,['July'],1591721298-8262,[1885]
980,['December'],1591721298-9123,[1881]
981,['October'],1591721298-8799,[1889]
982,['August'],1591721298-8093,[1882]
983,['January'],1591721298-8845,[1890]
984,['October'],1591721298-8793,[1889]
985,['September'],1591721298-9011,[1882]
986,['November'],1591721298-8810,[1889]
987,['April'],1591721298-8574,[1888]
988,['July'],1591721298-9007,[1882]
989,['January'],1591721298-8991,[1882]
990,['October'],1591721298-9211,[1888]
991,['May'],1591721298-8242,[1885]
992,['August'],1591721298-8092,[1882]
993,['April'],1591721298-8570,[1888]
994,['March'],1591721298-8558,[1888]
995,['January'],1591721298-8844,[1890]
996,[],1591721298-8382,[1886]
997,['April'],1591721298-9107,[1885]
998,['September'],1591721298-9018,[1882]
999,['March'],1591721298-8213,[1885]
1000,['June'],1591721298-8607,[1888]
1001,[],1591721298-8321,[1886]
1002,"['April', 'May']",1591721298-8955,[1881]
1003,"['September', 'October']",1591721298-8296,[1885]
1004,['December'],1591721298-8693,[1888]
1005,[],1591721298-8355,[1886]
1006,['October'],1591721298-8977,[1881]
1007,['October'],1591721298-8305,[1885]
1008,['June'],1591721298-8257,[1885]
1009,['March'],1591721298-8223,[1885]
1010,['October'],1591721298-9214,[1888]
1011,['January'],1591721298-8990,[1882]
1012,['August'],1591721298-8097,[1882]
1013,['October'],1591721298-8975,[1881]
1014,[],1591721298-8509,[1887]
1015,[],1591721298-8475,[1887]
1016,[],1591721298-8531,[1887]
1017,['June'],1591721298-9154,[1883]
1018,[],1591721298-9073,[1887]
1019,['September'],1591721298-8774,[1889]
1020,['January'],1591721298-8708,[1889]
1021,['June'],1591721298-8742,[1889]
1022,[],1591721298-8457,[1887]
1023,['October'],1591721298-8979,[1881]
1024,['June'],1591721298-8602,[1888]
1025,['June'],1591721298-8916,[1890]
1026,['May'],1591721298-9091,[1889]
1027,['December'],1591721298-8316,[1885]
1028,[],1591721298-8420,[1887]
1029,['October'],1591721298-8795,[1889]
1030,"['March', 'April']",1591721298-8861,[1890]
1031,[],1591721298-8523,[1887]
1032,['May'],1591721298-8740,[1889]
1033,['August'],1591721298-8638,[1888]
1034,['August'],1591721298-8622,[1888]
1035,['September'],1591721298-9021,[1882]
1036,[],1591721298-8496,[1887]
1037,['September'],1591721298-9136,[1882]
1038,['January'],1591721298-8714,[1889]
1039,['June'],1591721298-8595,[1888]
1040,['March'],1591721298-8225,[1885]
1041,[],1591721298-8413,[1886]
1042,['September'],1591721298-8654,[1888]
1043,['September'],1591721298-8290,[1885]
1044,[],1591721298-8177,"[1884, 1885]"
1045,"['April', 'May']",1591721298-8863,[1890]
1046,['May'],1591721298-8884,[1890]
1047,['December'],1591721298-8171,[1884]
1048,[],1591721298-8656,[1888]
1049,"['May', 'June']",1591721298-8741,[1889]
1050,['February'],1591721298-8194,[1885]
1051,['September'],1591721298-9142,[1882]
1052,['January'],1591721298-8992,[1882]
1053,['November'],1591721298-8308,[1885]
1054,['October'],1591721298-8789,[1889]
1055,['June'],1591721298-9223,[1889]
1056,['September'],1591721298-8962,[1881]
1057,['July'],1591721298-9158,[1883]
1058,[],1591721298-8455,[1887]
1059,['May'],1591721298-8246,[1885]
1060,['June'],1591721298-8254,[1885]
1061,"['March', 'April']",1591721298-8229,[1885]
1062,[],1591721298-8332,[1886]
1063,[],1591721298-8325,[1886]
1064,['December'],1591721298-9046,[1883]
1065,['October'],1591721298-8796,[1889]
1066,['December'],1591721298-8841,[1889]
1067,"['February', 'March']",1591721298-8202,[1885]
1068,['October'],1591721298-9038,[1883]
1069,['June'],1591721298-8754,[1889]
1070,['September'],1591721298-8651,[1888]
1071,['September'],1591721298-8285,[1885]
1072,['June'],1591721298-9081,[1888]
1073,['March'],1591721298-8224,[1885]
1074,['October'],1591721298-8802,[1889]
1075,['October'],1591721298-9144,[1882]
1076,['June'],1591721298-8917,[1890]
1077,"['May', 'June']",1591721298-8889,[1890]
1078,['July'],1591721298-8611,[1888]
1079,['April'],1591721298-8727,[1889]
1080,"['September', 'October']",1591721298-8292,[1885]
1081,[],1591721298-8395,[1886]
1082,['March'],1591721298-9032,[1883]
1083,['May'],1591721298-8129,[1884]
1084,[],1591721298-8427,[1887]
1085,['October'],1591721298-9040,[1883]
1086,['December'],1591721298-8830,[1889]
1087,['January'],1591721298-9125,[1882]
1088,['August'],1591721298-8104,[1883]
1089,[],1591721298-8178,"[1884, 1885]"
1090,['March'],1591721298-8557,[1888]
1091,[],1591721298-8458,[1887]
1092,['August'],1591721298-9183,[1885]
1093,['September'],1591721298-8959,[1881]
1094,[],1591721298-8375,[1886]
1095,[],1591721298-8540,[1887]
1096,['June'],1591721298-8926,[1890]
1097,[],1591721298-8513,[1887]
1098,['June'],1591721298-9196,[1888]
1099,['June'],1591721298-8596,[1888]
1100,['June'],1591721298-8756,[1889]
1101,['April'],1591721298-8731,[1889]
1102,['June'],1591721298-8599,[1888]
1103,[],1591721298-9074,[1887]
1104,['December'],1591721298-9050,[1883]
1105,['August'],1591721298-8109,[1883]
1106,['June'],1591721298-8752,[1889]
1107,['September'],1591721298-9114,[1881]
1108,['September'],1591721298-8642,[1888]
1109,['April'],1591721298-9190,[1888]
1110,['November'],1591721298-9218,[1888]
1111,[],1591721298-8469,[1887]
1112,[],1591721298-8526,[1887]
1113,['December'],1591721298-8988,[1881]
1114,['June'],1591721298-8901,[1890]
1115,"['May', 'June']",1591721298-8890,[1890]
1116,[],1591721298-8340,[1886]
1117,['November'],1591721298-8161,[1884]
1118,[],1591721298-8435,[1887]
1119,[],1591721298-8363,[1886]
1120,['April'],1591721298-8567,[1888]
1121,['November'],1591721298-8163,[1884]
1122,['February'],1591721298-8851,[1890]
1123,['October'],1591721298-9119,[1881]
1124,['March'],1591721298-8556,[1888]
1125,[],1591721298-8403,[1886]
1126,['July'],1591721298-8757,[1889]
1127,['July'],1591721298-8997,[1882]
1128,['July'],1591721298-9237,[1890]
1129,['January'],1591721298-8709,[1889]
1130,['May'],1591721298-8128,[1884]
1131,['August'],1591721298-8621,[1888]
1132,['October'],1591721298-8658,[1888]
1133,['December'],1591721298-8702,[1888]
1134,[],1591721298-8443,[1887]
1135,['September'],1591721298-9037,[1883]
1136,['May'],1591721298-8241,[1885]
1137,[],1591721298-8512,[1887]
1138,['July'],1591721298-8136,[1884]
1139,['December'],1591721298-8986,[1881]
1140,['January'],1591721298-8186,[1885]
1141,[],1591721298-8441,[1887]
1142,['July'],1591721298-9005,[1882]
1143,['January'],1591721298-9170,[1884]
1144,['November'],1591721298-8822,[1889]
1145,['May'],1591721298-9108,[1890]
1146,[],1591721298-8530,[1887]
1147,[],1591721298-8176,"[1884, 1885]"
1148,['October'],1591721298-8804,[1889]
1149,[],1591721298-8456,[1887]
1150,['December'],1591721298-8699,[1888]
1151,['December'],1591721298-8174,[1884]
